FrameIndex,TimeSec,LevelIndex,CPU_Frame_Total,CPU_Update_Total,CPU_Render_Total,CPU_BeginDraw,CPU_Draw_Total,CPU_Renderer_Draw,CPU_Level_Render,CPU_Present,CPU_Render_Priority,CPU_Render_Shadow,CPU_Render_NonBlend,CPU_Render_OutlineMask,CPU_Render_Lights,CPU_Render_Combined,CPU_Render_PostProcess,CPU_Render_NonLight,CPU_Render_Blend,CPU_Render_UI,CPU_Render_Debug,CPU_RenderProfile_BindAndDraw,CPU_Model_BindBoneMatrices,CPU_Mesh_BindBoneMatrices,CPU_Model_BindMaterial,CPU_Draw_Text,CPU_Render_ProfilerOverlay,GPU_Frame_Total,GPU_Render_Shadow,GPU_Render_NonBlend,GPU_Render_Lights,GPU_Render_Combined,GPU_Render_Blend,GPU_Render_UI,DrawCalls_Total,DrawCalls_Shadow,DrawCalls_NonBlend,Triangles_Total,Triangles_Shadow,Triangles_NonBlend,Objects_Shadow,Objects_NonBlend,ShaderBeginCount,MaterialBindCount,TextureBindCount,TextDrawCalls
26,0.0206761,3,23.2926,5.5722,17.7162,0.0034,17.3903,17.1332,0.2522,0.3194,0.0321,5.2154,7.0749,4.7014,0.0251,0.019,0.0122,0.0003,0.0015,0.0011,0.0439,6.4058,5.5814,5.5085,0.5285,0.0441,0,1.86368,0.92964,0.64168,0.13208,0.06376,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
27,0.0379653,3,16.9082,2.0682,14.8364,0.0016,14.545,14.207,0.3327,0.2854,0.0206,4.0512,5.6151,4.3666,0.0303,0.0271,0.0191,0.0006,0.0021,0.0023,0.0658,4.9977,5.172,5.1062,0.4751,0.0529,0,1.61244,0.936,0.39036,0.13208,0.06044,4e-05,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
28,0.0594643,3,21.2643,2.6913,18.5699,0.0025,18.2545,17.7698,0.4805,0.3102,0.0325,4.5146,8.0756,4.8043,0.134,0.0234,0.0137,0.0005,0.0017,0.0021,0.161,7.3179,5.5636,5.4909,0.6275,0.0442,0,2.57832,0.99216,1.303,0.132,0.05932,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
29,0.0805148,3,20.7664,2.0855,18.6773,0.0023,18.3572,18.0651,0.2878,0.3146,0.0213,6.0303,7.1633,4.6878,0.0444,0.0351,0.0204,0.0007,0.0019,0.0022,0.0506,6.3945,5.6306,5.5504,0.6937,0.0505,0,1.71152,1.00796,0.41904,0.13192,0.05928,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
30,0.102542,3,21.8052,2.2734,19.5279,0.0025,19.1344,18.801,0.328,0.3876,0.0268,5.976,7.4108,5.2067,0.0432,0.0346,0.0192,0.0007,0.0021,0.0026,0.0706,6.6165,5.4606,5.3865,0.8186,0.0686,0,2.41308,1.70976,0.41912,0.1324,0.05948,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
31,0.124179,3,21.1733,2.8009,18.3687,0.0023,18.0296,17.7724,0.2525,0.3334,0.0283,6.132,7.8088,3.6953,0.024,0.0191,0.0124,0.0005,0.0013,0.0016,0.0435,7.0272,5.8701,5.7914,0.6211,0.0442,0,2.40636,1.61304,0.4464,0.18708,0.05972,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
32,0.143546,3,19.0088,2.008,16.9978,0.0017,16.4452,15.7414,0.699,0.548,0.02,4.1626,6.9468,4.4233,0.0382,0.0315,0.0171,0.0008,0.0018,0.0021,0.0901,6.1924,5.6117,5.5372,0.6497,0.1397,0,1.61372,0.93176,0.39784,0.132,0.06008,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
33,0.164681,3,20.7054,2.2764,18.4257,0.002,18.0674,17.7788,0.2844,0.3536,0.0214,5.8123,7.9782,3.8421,0.0329,0.0212,0.0125,0.0005,0.0016,0.0017,0.0485,7.0956,5.2502,5.1803,0.877,0.0482,0,2.42264,1.71852,0.42076,0.13216,0.05924,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
34,0.188342,3,23.202,3.1089,20.0885,0.0025,19.5824,19.189,0.3881,0.5002,0.0268,5.6133,7.6163,5.7574,0.0434,0.0318,0.0186,0.0008,0.0019,0.0021,0.0687,6.9185,6.4061,6.3145,0.6264,0.0729,0,2.68728,1.98348,0.41804,0.13232,0.05952,4e-05,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
35,0.208321,3,19.6142,2.6422,16.9684,0.0026,16.522,16.1457,0.3703,0.4405,0.0236,5.1766,6.4919,4.3153,0.0343,0.021,0.014,0.0005,0.0014,0.0015,0.0593,5.7746,5.4962,5.4211,0.5281,0.0786,0,2.44872,0.93604,1.22844,0.13244,0.0592,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
36,0.231742,3,22.8733,3.0398,19.83,0.0024,19.2675,18.7521,0.5105,0.5573,0.0235,5.0145,8.7922,4.6628,0.0786,0.0258,0.0669,0.0006,0.0014,0.0226,0.054,7.9712,5.9844,5.8951,0.7705,0.0578,0,3.06768,2.36136,0.422,0.13208,0.05936,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
37,0.253017,3,21.0755,2.293,18.7794,0.0023,18.3537,18.0515,0.2971,0.4205,0.026,5.9893,7.5586,4.3508,0.0358,0.0205,0.0119,0.0005,0.0014,0.002,0.0481,6.7151,5.5738,5.4944,0.795,0.0498,0,2.40972,1.7066,0.419,0.13228,0.05924,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
38,0.277275,3,22.7054,2.9738,19.7279,0.0024,19.1572,18.7983,0.3535,0.5654,0.0244,4.8341,8.6468,5.1318,0.0425,0.0273,0.0167,0.0005,0.0024,0.0022,0.0631,7.9012,6.0204,5.9304,0.7243,0.06,0,3.48596,1.72904,0.50532,0.13176,0.07496,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
39,0.297174,3,19.6675,3.3902,16.2739,0.0022,15.7083,15.35,0.3534,0.5602,0.0262,4.7101,6.8324,3.6689,0.0253,0.0197,0.0123,0.0004,0.002,0.0014,0.0451,6.1995,4.9401,4.8818,0.4829,0.1435,0,2.48428,1.77876,0.42156,0.13228,0.0598,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
40,0.319442,3,22.0553,2.5304,19.522,0.0022,19.1803,18.778,0.3965,0.3361,0.0257,5.0976,7.9562,5.5244,0.0446,0.0293,0.0187,0.0007,0.002,0.0019,0.0692,7.0866,6.1694,6.0783,0.9205,0.0628,0,1.63496,0.9516,0.39856,0.13216,0.0598,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
41,0.341915,3,22.1995,2.5169,19.6785,0.0023,19.3497,19.022,0.3231,0.3231,0.0264,6.0391,7.5694,5.2249,0.0384,0.0284,0.0187,0.0006,0.0021,0.0021,0.0646,6.848,6.4762,6.3695,0.7198,0.0622,0,2.4188,1.71484,0.41452,0.13204,0.0596,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
42,0.364829,3,22.7042,3.8545,18.8463,0.0028,18.5078,18.2025,0.3002,0.3324,0.0266,4.3168,8.062,5.6318,0.0413,0.0304,0.0197,0.0006,0.0022,0.002,0.0608,7.3292,6.0294,5.9306,0.6636,0.0482,0,2.51236,1.81252,0.4174,0.13188,0.05952,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
43,0.38725,3,22.1773,2.7639,19.4101,0.0023,19.0638,18.7134,0.3455,0.3407,0.0251,5.0757,7.7482,5.6833,0.0491,0.0335,0.0216,0.0005,0.0027,0.0021,0.0638,6.9677,6.1727,6.0868,0.842,0.058,0,2.40312,0.94152,1.17856,0.13232,0.05892,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
44,0.408134,3,20.6686,3.1204,17.5445,0.0022,17.154,16.8785,0.2709,0.3849,0.0233,5.3111,6.787,4.6292,0.034,0.0211,0.0123,0.0005,0.0017,0.0012,0.0511,6.1149,5.8191,5.7301,0.6415,0.0516,0,2.48376,0.95168,1.24828,0.13208,0.05948,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
45,0.43009,3,21.7594,3.4782,18.2782,0.0023,17.8812,17.5317,0.3442,0.3919,0.0255,4.1907,7.4841,5.6625,0.0429,0.0299,0.0173,0.0006,0.0026,0.0022,0.0664,6.6876,6.225,6.1182,0.7522,0.064,0,2.45004,1.74576,0.41792,0.13224,0.05916,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
46,0.45161,3,21.3255,2.4206,18.9021,0.0023,18.5001,18.1758,0.3192,0.3965,0.0275,6.2486,7.6345,4.139,0.0336,0.0214,0.0122,0.0006,0.0016,0.0017,0.0468,6.7101,5.4015,5.33,0.7741,0.0488,0,2.49988,1.79576,0.4218,0.13164,0.05892,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
47,0.471617,3,19.7759,2.6554,17.1176,0.0024,16.7039,16.3949,0.3045,0.4079,0.0261,4.7897,7.6673,3.7964,0.0317,0.0195,0.0118,0.0005,0.0013,0.0016,0.0428,6.9303,5.7247,5.649,0.6787,0.0455,0,2.20144,0.93616,0.98204,0.13184,0.05956,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
48,0.48976,3,17.9563,2.1894,15.7637,0.002,15.4187,15.0421,0.371,0.34,0.0206,3.9554,6.547,4.3853,0.0306,0.0203,0.012,0.0005,0.0015,0.0017,0.0614,5.7338,5.2939,5.2247,0.6709,0.0663,0,1.62676,0.94424,0.398,0.1322,0.05956,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
49,0.512417,3,22.4739,2.4845,19.9863,0.0023,19.0833,18.6164,0.4605,0.8975,0.0259,5.5884,8.0749,4.755,0.043,0.0313,0.0192,0.0006,0.0023,0.0023,0.066,7.286,6.0229,5.924,0.7146,0.1276,0,1.89828,0.97224,0.6346,0.13236,0.05912,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
50,0.530432,3,17.7828,2.5763,15.2037,0.0022,14.8782,14.6493,0.2252,0.3202,0.0219,5.3551,5.4075,3.7619,0.026,0.0189,0.0112,0.0005,0.0015,0.001,0.0392,4.8037,4.8363,4.7784,0.454,0.0379,0,2.43404,0.94336,1.20604,0.13224,0.05896,0,4e-05,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
51,0.552146,3,21.4771,2.3246,19.1492,0.002,18.7765,18.389,0.3823,0.3675,0.0209,4.8922,8.0624,5.2804,0.0317,0.0228,0.0125,0.0005,0.0018,0.0017,0.0544,7.2511,6.6121,6.4956,0.839,0.0657,0,1.78988,0.93592,0.41104,0.13224,0.2146,0,4e-05,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
52,0.576609,3,24.0696,3.0426,21.0228,0.0023,20.5688,20.195,0.368,0.4483,0.0246,6.4912,8.0798,5.4222,0.0409,0.0322,0.0187,0.0007,0.0025,0.0019,0.0721,7.1655,6.9109,6.7674,0.7791,0.0659,0,2.46576,1.75944,0.4214,0.1322,0.05932,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
53,0.602224,3,25.3184,3.1418,22.1728,0.0026,21.7825,21.4004,0.3767,0.3842,0.0258,6.5818,8.8645,5.7564,0.0392,0.0324,0.0193,0.0009,0.0022,0.0023,0.0671,8.0008,6.8693,6.7262,0.9307,0.0604,0,2.42128,1.71488,0.41844,0.13228,0.05932,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
54,0.62516,3,22.6851,3.1318,19.5498,0.0026,19.1751,18.8118,0.3574,0.3685,0.0266,5.1778,8.1307,5.299,0.0396,0.0333,0.0179,0.0007,0.0022,0.0022,0.073,7.2075,6.7493,6.6124,0.8219,0.0618,0,1.62528,0.94164,0.39452,0.13188,0.05948,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
55,0.647907,3,22.4699,2.832,19.6341,0.0023,19.0551,18.5926,0.4561,0.5731,0.0274,5.2445,8.3722,4.7046,0.0496,0.0419,0.0527,0.0009,0.0031,0.0023,0.082,7.4358,6.2768,6.1486,0.8376,0.0728,0,2.496,1.80808,0.39936,0.13212,0.05996,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
56,0.671324,3,23.0524,3.1972,19.851,0.0025,19.494,19.177,0.3108,0.3513,0.0296,5.3528,8.6504,5.0039,0.0326,0.0219,0.012,0.0004,0.0016,0.0013,0.0625,7.6955,6.6884,6.5385,0.8481,0.0603,0,4.4866,3.70908,0.48932,0.13204,0.06028,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
57,0.694881,3,23.3624,3.0216,20.3377,0.0026,19.9611,19.5856,0.3699,0.3709,0.0251,5.2336,8.5227,5.6274,0.045,0.0326,0.0164,0.0007,0.0023,0.0023,0.0696,7.6196,6.4195,6.2981,1.0011,0.0608,0,2.1058,1.396,0.42484,0.13208,0.06004,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
58,0.718612,3,23.461,3.5573,19.9003,0.0025,19.4666,19.0011,0.4594,0.4279,0.0282,5.539,8.6693,4.5503,0.0501,0.0386,0.023,0.001,0.0034,0.003,0.0847,7.8531,6.7995,6.6635,0.7579,0.092,0,2.42756,0.94032,0.40808,0.13228,0.84336,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
59,0.742367,3,23.4765,3.3679,20.1045,0.0025,19.6873,19.2645,0.4151,0.4109,0.0302,5.5162,8.5752,4.9294,0.0506,0.0394,0.0221,0.0008,0.0025,0.0023,0.0858,7.7726,6.6349,6.5127,0.6693,0.0834,0,1.85916,1.14568,0.42748,0.13212,0.05972,4e-05,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
60,0.765443,3,22.7792,3.5066,19.2685,0.0024,18.4183,17.96,0.4526,0.8445,0.0293,5.3189,7.6996,4.7153,0.0527,0.0368,0.0192,0.0007,0.0024,0.0023,0.0737,6.9432,6.0292,5.9413,0.6219,0.0942,0,2.5272,1.8172,0.42256,0.1322,0.05912,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
61,0.787138,3,21.4293,2.6831,18.7429,0.0023,18.3132,18.0206,0.2881,0.4242,0.0228,6.2681,7.0125,4.5913,0.0313,0.0201,0.0125,0.0007,0.0017,0.0015,0.0522,6.1886,5.8575,5.7709,0.6926,0.0525,0,2.4586,1.74124,0.43324,0.13208,0.059,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
62,0.807891,3,20.5211,2.5699,17.9482,0.0021,17.5631,17.2917,0.2673,0.3799,0.024,4.8335,7.2065,5.1073,0.0323,0.0199,0.0122,0.0005,0.0017,0.0011,0.0471,6.2604,5.4611,5.3866,0.6538,0.0465,0,2.42832,1.72088,0.42228,0.13184,0.05892,4e-05,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
63,0.826835,3,18.7111,2.6788,16.0291,0.0025,15.6174,15.275,0.3367,0.4057,0.0251,4.0078,6.632,4.4454,0.0738,0.0236,0.0133,0.0005,0.0016,0.0012,0.0447,5.8697,5.2793,5.2121,0.6742,0.0655,0,1.63236,0.94492,0.39908,0.132,0.05956,4e-05,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
64,0.848743,3,21.5678,3.0941,18.4695,0.0025,18.0137,17.6423,0.3662,0.4498,0.0217,5.478,7.104,4.8993,0.0358,0.0254,0.015,0.0006,0.0022,0.0021,0.0518,6.3253,5.7518,5.6608,0.6524,0.0609,0,1.71764,0.95168,0.48056,0.13204,0.0592,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
65,0.877897,3,28.8641,3.3761,25.4841,0.0029,24.9508,24.5918,0.3528,0.5269,0.0302,10.3954,9.9987,4.0317,0.0359,0.0219,0.0132,0.0005,0.0015,0.002,0.0541,9.1606,5.9007,5.8169,0.9102,0.0701,0,2.48052,1.72428,0.42036,0.13192,0.08712,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
66,0.90029,3,22.1379,3.5598,18.5746,0.0024,18.125,17.7332,0.3861,0.4438,0.0302,4.8477,8.1798,4.5053,0.0424,0.0294,0.0172,0.0006,0.0019,0.002,0.0697,7.2324,6.1805,6.0952,0.8118,0.0709,0,1.64516,0.95476,0.4052,0.13212,0.05972,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
67,0.9244,3,23.7128,3.4517,20.2566,0.0026,19.8308,19.3826,0.4417,0.4197,0.0307,5.7784,8.1633,5.0325,0.1244,0.1096,0.0226,0.0204,0.0053,0.0023,0.0709,7.3668,6.2641,6.1744,0.7544,0.0704,0,4.02968,3.32076,0.4254,0.132,0.05908,0,0,480,189,200,1004079,427719,515877,13,15,480,1114,1134,1
