FrameIndex,TimeSec,LevelIndex,CPU_Frame_Total,CPU_Update_Total,CPU_Render_Total,CPU_BeginDraw,CPU_Draw_Total,CPU_Renderer_Draw,CPU_Level_Render,CPU_Present,CPU_Render_Priority,CPU_Render_Shadow,CPU_Render_NonBlend,CPU_Render_OutlineMask,CPU_Render_Lights,CPU_Render_Combined,CPU_Render_PostProcess,CPU_Render_NonLight,CPU_Render_Blend,CPU_Render_UI,CPU_Render_Debug,CPU_RenderProfile_BindAndDraw,CPU_Model_BindBoneMatrices,CPU_Mesh_BindBoneMatrices,CPU_Model_BindMaterial,CPU_Draw_Text,CPU_Render_ProfilerOverlay,GPU_Frame_Total,GPU_Render_Shadow,GPU_Render_NonBlend,GPU_Render_Lights,GPU_Render_Combined,GPU_Render_Blend,GPU_Render_UI,DrawCalls_Total,DrawCalls_Shadow,DrawCalls_NonBlend,Triangles_Total,Triangles_Shadow,Triangles_NonBlend,Objects_Shadow,Objects_NonBlend,ShaderBeginCount,MaterialBindCount,TextureBindCount,TextDrawCalls
191,1.29686,3,22.1238,2.6034,19.5172,0.0021,19.2243,18.7094,0.3092,0.288,0.0222,5.8974,5.7574,6.8904,0.0343,0.0264,0.0162,0.0006,0.0019,0.0016,0.0551,5.146,5.4885,5.412,0.4741,0.1661,0.2009,4.33992,3.72936,0.35332,0.10888,0.06028,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
192,1.3218,3,24.6826,2.7431,21.9358,0.0026,21.6054,20.9559,0.4423,0.3247,0.028,5.2792,11.1857,4.3416,0.0308,0.0243,0.0128,0.0008,0.0014,0.0018,0.044,10.3438,6.0603,5.9706,0.8239,0.1803,0.2007,1.56096,0.91312,0.39484,0.10552,0.05856,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
193,1.34753,3,25.0769,2.8623,22.2106,0.0024,21.8423,20.9773,0.6075,0.3623,0.0222,6.6146,7.2069,6.9115,0.0395,0.1126,0.0131,0.0005,0.0015,0.0013,0.0481,6.4459,5.8801,5.7808,0.7339,0.2105,0.2519,7.22432,3.59152,3.38184,0.10508,0.05876,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
194,1.36886,3,20.7775,2.4053,18.3685,0.0022,18.0567,17.6542,0.2441,0.3068,0.021,4.0944,9.3193,4.102,0.0326,0.0189,0.0126,0.0007,0.0016,0.0018,0.0448,8.5843,5.2316,5.167,0.6604,0.1309,0.1542,2.53172,1.95032,0.3376,0.10212,0.05796,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
195,1.39213,3,22.8005,2.7811,20.0153,0.0027,19.5726,18.8939,0.3401,0.437,0.0338,8.029,6.0037,4.701,0.0349,0.0196,0.0132,0.0004,0.0017,0.0016,0.0481,5.3377,5.2141,5.1459,0.4921,0.2965,0.3321,1.55688,0.95144,0.341,0.11212,0.06132,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
196,1.41547,3,22.8569,2.5873,20.2658,0.0024,19.996,19.5735,0.2636,0.2646,0.0217,5.9707,7.3175,6.1324,0.0328,0.0215,0.0132,0.0005,0.002,0.0021,0.0528,6.5656,5.3173,5.2427,0.6565,0.1288,0.1547,2.1542,0.93736,0.95972,0.10856,0.06032,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
197,1.43723,3,21.3135,2.2028,19.1074,0.0019,18.8098,18.4017,0.2505,0.2927,0.021,3.9478,10.4589,3.8602,0.0306,0.0191,0.0128,0.0004,0.0016,0.0017,0.0422,9.58,5.2539,5.1871,0.6767,0.1317,0.1528,2.39312,1.82,0.33564,0.09868,0.05652,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
198,1.46233,3,24.599,3.0168,21.5787,0.0026,21.2172,20.5615,0.3687,0.3558,0.0308,7.8562,5.6827,6.8635,0.0337,0.0241,0.0175,0.0005,0.0014,0.0015,0.0439,5.0546,5.3496,5.2698,0.4741,0.2395,0.2818,2.16664,0.9436,0.9696,0.10772,0.05944,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
199,1.4833,3,20.3637,2.3901,17.9698,0.002,17.5867,16.8229,0.4305,0.3779,0.0202,3.9715,7.0243,5.6754,0.0278,0.0186,0.0127,0.0005,0.0015,0.0017,0.0638,6.3184,4.9022,4.8427,0.5876,0.3617,0.3279,1.5164,0.93568,0.34416,0.09856,0.05692,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
200,1.50448,3,20.996,2.2986,18.6948,0.002,18.3807,17.9992,0.2271,0.3092,0.0209,5.516,8.7025,3.6529,0.0278,0.0182,0.0119,0.0005,0.0015,0.0013,0.0407,8.0488,5.2612,5.1921,0.5774,0.1239,0.1504,1.71372,1.13696,0.34612,0.09612,0.05576,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
